eu_sdg,table,table_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CY,Cyprus,2021,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2000,0.257,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2001,0.218,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2002,0.206,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2003,0.278,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2004,0.22,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2005,0.152,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2006,0.123,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2007,0.117,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2008,0.121,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2009,0.08,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2010,0.068,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2011,0.109,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2012,0.125,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2013,0.104,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2014,0.127,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2015,0.126,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2016,0.125,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2017,0.123,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2018,0.133,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2019,0.108,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2020,0.078,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,CZ,Czechia,2021,0.085,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2000,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2001,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2002,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2003,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2004,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2005,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2006,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2007,,
